,open,high,low,close,volume
2021-08-18,60.9736,60.9819,59.9434,60.1444,2447842
2021-08-19,58.4609,59.0053,58.1510,58.3102,3268840
2021-08-20,58.0170,58.5363,57.4977,58.5363,2254239
2021-08-23,59.7340,59.8764,58.5196,58.5196,2203480
2021-08-24,58.9551,59.7005,58.6368,59.2482,2031805
2021-08-25,59.1645,59.8848,58.9132,59.5665,1846335
2021-08-26,59.1645,59.4492,58.6536,59.2147,1530079
2021-08-27,59.3152,59.8010,58.9886,59.6419,1222370
2021-08-30,59.8429,60.3705,59.7256,59.9685,1376885
2021-08-31,60.3538,60.7558,59.1896,59.8178,2870896
2021-09-01,60.4710,60.5380,59.3068,59.5246,1624492
2021-09-02,59.5246,59.9183,58.9551,59.1477,1893350
2021-09-03,59.2231,59.5079,58.5196,58.7708,1715363
2021-09-06,59.0137,59.3152,58.2515,58.7038,1995083
2021-09-07,58.8629,59.4409,58.7038,58.9467,1773366
2021-09-08,58.6619,58.6787,57.2549,57.5480,3282009
2021-09-09,57.0203,57.8328,56.6602,57.3721,2637446
2021-09-10,57.4559,58.4944,57.4559,57.9081,2266264
2021-09-13,58.2850,60.2617,58.2850,60.0523,3462549
2021-09-14,60.1444,61.2081,60.0858,60.7391,3108146
2021-09-15,60.1444,61.5934,60.0774,60.7307,2625314
2021-09-16,60.7893,61.5180,60.1360,60.4124,2458052
2021-09-17,61.0154,61.2332,59.4576,59.7675,6563297
2021-09-20,58.5698,58.7876,56.7439,57.9165,4644107
2021-09-21,58.2515,58.8713,57.7406,58.0422,2601472
2021-09-22,58.4944,60.2868,58.3939,60.2449,2784575
2021-09-23,60.7223,61.6855,60.4794,61.1578,2703339
2021-09-24,61.0573,62.3807,60.3287,62.2131,2622214
2021-09-27,62.8162,63.8547,62.6570,63.4862,3431309
2021-09-28,63.4695,65.4042,63.2768,63.8464,5174189
2021-09-29,64.3238,65.1948,63.9301,64.8263,2244393
2021-09-30,65.0776,65.3121,64.2568,64.2568,2919920
2021-10-01,63.2852,65.2786,62.4895,64.8012,3630569
2021-10-04,64.4913,65.0943,63.5867,64.4997,2594745
2021-10-05,64.6839,64.8095,63.7375,64.6504,2155475
2021-10-06,63.9469,64.2484,62.8664,63.2936,3445633
2021-10-07,64.1479,66.0659,63.9804,65.8649,3757678
2021-10-08,66.7108,67.9839,66.6773,67.5735,4371059
2021-10-11,67.2552,69.6171,66.8197,69.5166,3899366
2021-10-12,68.2770,69.4496,68.0844,68.9387,2826257
2021-10-13,68.8465,69.4663,68.0592,68.3105,2722209
2021-10-14,68.8968,69.7343,68.4780,69.7008,3223210
2021-10-15,69.7092,70.3457,69.5920,70.0610,2680878
