,open,high,low,close,volume
2021-07-16,2553.2600,2556.2300,2523.0700,2539.4000,1021227
2021-07-19,2521.7900,2524.1000,2470.1000,2491.5600,1398379
2021-07-20,2510.5500,2540.8636,2487.0100,2524.1900,1315822
2021-07-21,2522.6700,2551.9200,2520.4700,2550.9800,1037309
2021-07-22,2556.8800,2569.6600,2549.9769,2568.4300,715094
2021-07-23,2608.6100,2667.9799,2596.0100,2660.3000,2075321
2021-07-26,2666.5650,2684.7400,2646.0300,2680.7000,1528574
2021-07-27,2685.0100,2687.9800,2602.0800,2638.0000,2735474
2021-07-28,2726.2390,2765.9400,2705.5500,2721.8800,4756530
2021-07-29,2723.0000,2733.2203,2710.8600,2715.5500,1496083
2021-07-30,2700.7000,2706.0900,2685.1000,2694.5300,1278789
2021-08-02,2702.3400,2706.7300,2675.8828,2697.0900,1081710
2021-08-03,2702.7000,2714.6400,2666.3900,2712.6000,1038094
2021-08-04,2706.9900,2712.9900,2689.7400,2702.5100,983801
2021-08-05,2713.6100,2727.0000,2696.9200,2725.0300,893450
2021-08-06,2720.8400,2729.4500,2704.2000,2714.7700,1024406
2021-08-09,2718.8500,2743.6800,2706.7850,2738.2600,888300
2021-08-10,2746.8400,2755.4461,2727.2900,2736.1400,970704
2021-08-11,2743.6300,2753.6450,2725.4300,2725.5800,767600
2021-08-12,2719.5100,2746.0000,2708.5100,2743.8800,825943
2021-08-13,2745.0000,2757.1300,2740.6600,2754.5500,757647
2021-08-16,2750.4979,2767.2500,2705.9750,2766.1900,1119918
2021-08-17,2755.0000,2765.3100,2721.6400,2733.2300,1085760
2021-08-18,2730.0000,2742.0850,2706.4300,2708.9800,962947
2021-08-19,2688.7100,2727.0500,2685.0000,2713.6000,1089127
2021-08-20,2720.0000,2751.0800,2705.0000,2748.5900,1559658
2021-08-23,2759.3900,2817.4900,2752.1500,2800.8300,1422670
2021-08-24,2812.2300,2841.6000,2806.7700,2825.2300,963361
2021-08-25,2832.5000,2843.7897,2827.5200,2841.5800,792574
2021-08-26,2835.0000,2848.3500,2827.1400,2828.8100,1030466
2021-08-27,2833.0500,2890.2500,2829.9400,2880.0800,1439010
2021-08-30,2888.0000,2919.4100,2883.2600,2891.8100,1221710
2021-08-31,2902.9400,2903.4250,2885.6200,2893.9500,1122438
2021-09-01,2900.0000,2925.0750,2897.6700,2904.3100,1096805
2021-09-02,2904.3200,2910.3850,2863.6950,2865.7400,1617907
2021-09-03,2861.6100,2883.1000,2848.0100,2874.7900,992718
2021-09-07,2876.6900,2891.3000,2872.3800,2885.6100,1006595
2021-09-08,2882.0000,2888.0000,2860.0000,2873.8200,917511
2021-09-09,2876.8100,2886.2100,2863.5500,2870.8200,765855
2021-09-10,2884.2500,2894.3700,2814.7550,2817.5200,1841967
2021-09-13,2838.9900,2859.0000,2825.0000,2846.6500,1104692
2021-09-14,2859.9050,2867.2600,2835.0000,2850.8900,983693
2021-09-15,2855.4300,2889.0100,2826.9500,2888.5900,1370379
2021-09-16,2879.0100,2886.0000,2848.0300,2872.2000,1309771
2021-09-17,2860.6100,2869.0000,2809.3950,2816.0000,2669223
2021-09-20,2763.2300,2780.0000,2726.4350,2774.3900,2325902
2021-09-21,2794.9900,2800.2300,2765.5600,2780.6600,1266595
2021-09-22,2786.0800,2817.7400,2771.0300,2805.6700,1252778
2021-09-23,2819.7500,2833.9300,2808.0300,2824.3200,1047550
2021-09-24,2810.7700,2846.6050,2804.8200,2844.3000,1149195
2021-09-27,2816.0853,2838.7699,2801.3500,2821.4400,1094098
2021-09-28,2773.1000,2781.9300,2707.2000,2716.6000,2288610
2021-09-29,2739.6000,2743.0200,2677.3000,2687.0700,1542435
2021-09-30,2685.2300,2710.8500,2671.1200,2673.5200,1901440
2021-10-01,2688.9500,2738.2100,2681.4600,2730.8600,1768009
2021-10-04,2719.2100,2719.2100,2621.0000,2673.1900,2560097
2021-10-05,2680.8200,2744.4900,2680.8200,2720.4600,1620163
2021-10-06,2695.0000,2755.0000,2691.0000,2751.3000,1218214
2021-10-07,2777.8400,2800.8400,2773.0240,2784.5000,1255507
2021-10-08,2791.5400,2806.6207,2784.3500,2795.7100,1326292
2021-10-11,2785.8400,2814.2400,2777.1800,2778.2800,897681
2021-10-12,2789.6000,2790.1400,2715.2000,2728.9800,1816612
2021-10-13,2748.0500,2760.0000,2730.3763,2751.6400,983116
2021-10-14,2789.4761,2826.7450,2776.5000,2823.0200,1596397
2021-10-15,2832.2900,2834.3600,2815.1000,2827.3600,1513722
2021-10-18,2821.5300,2855.9200,2821.3890,2855.5600,1019808
2021-10-19,2867.7500,2873.2500,2852.0000,2864.7400,1008150
2021-10-20,2866.7600,2870.9218,2827.5300,2835.3800,1164403
2021-10-21,2835.3800,2843.1200,2810.0000,2837.7200,1314613
2021-10-22,2783.0000,2811.6550,2721.1200,2751.3300,2529448
2021-10-25,2751.0000,2760.0000,2708.4800,2748.9400,1720613
2021-10-26,2785.2700,2801.6588,2766.0900,2786.1700,2461751
2021-10-27,2788.1000,2973.0000,2788.1000,2924.3500,4289070
2021-10-28,2942.6900,2943.1600,2892.5350,2916.9800,1810319
2021-10-29,2901.5600,2964.8400,2892.9900,2960.9200,2166015
2021-11-01,2960.9200,2960.9200,2864.5100,2869.9400,2314557
2021-11-02,2891.5900,2932.1800,2886.7100,2908.6500,1598865
